"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Kenya","KEN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.26534572675881","2.59168869538065","2.64888869243509","1.75681487998369","1.7362958036174","1.54210069239932","1.71340810915989","2.64157993868953","","","",
"Kenya","KEN","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208809837698936","","0.214446097612381","","0.197282910346985","","0.159145548939705","0.148405849933624","0.144486427307129","0.136219054460526","0.108879528939724","0.110723398625851","0.108597740530968","0.110230647027493","0.108896978199482","0.107742838561535","0.107736073434353","0.103858023881912","0.120048999786377","0.121568933129311","0.119386218488216","0.119741767644882","0.123716555535793","0.117868170142174","0.120357550680637","0.12099127471447","0.120508655905724","0.118235215544701","",
"Kenya","KEN","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","6","","7","","10","12","13","15","18","18","18","18","18","19","19","19","15","15","15","15","15","14","13","13","13","13","",
"Kenya","KEN","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.69438903898791","6.0626734671998","6.71761896936788","","","4.0691011885942","","4.3660951885799","7.58623435569943","3.34859041785183","3.61296275113367","4.59327769222193","5.11178261072947","3.12736061396888","2.26073811025712","3.04169416728318","",
"Kenya","KEN","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","21.0836765961","19.2772928243","17.3498513711","14.7155685115","18.1876043849","16.212061551","20.3095846835","16.2645988931","18.0646842777","16.103092708","17.4749725274","18.75666014","22.6757120838","23.2699952423","26.8676940685","31.8060009019","35.0054792179","34.7708135471","34.0038327209","29.5822644274","29.3569108862","32.9141442903","35.8305338559","40.824713452","45.4430216634","58.1","59.6","69.5","85.2","75.3","88","98.5","104.9","99.3","104.7","100","96.3","97.6","102.2","99.5","102.9","114.9","126.2","122.4","",
"Kenya","KEN","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","9.026369168357","12.094395280236","11.5770282588879","12.4075595727198","10.8527131782946","11.8174409127954","10.8970099667774","12.129963898917","43.331670111911","43.9307012908583","43.2060814559982","46.510743149309","39.4472603270557","37.7010403444881","38.9614605747361","39.4626745894529","33.3144399841692","21.994038359626","22.4692709082342","24.4665488788147","29.5326152423429","30.6790703192194","30.4056346539141","29.1254050470604","24.1216475225849","24.1216475225849","24.1216475225849","28.6871309492694","26.0729318860045","26.0729318860045","39.7526863191457","17.046281982788","18.6211374095989","32.4054048404364","36.9836630851991","43.1572531864947","42.7499586594648","41.3201009408652","39.4278475431198","30.9336546561673","40.5105609908559","43.8329046438842","43.6459140316633","45.0651116670056","46.2235350633736","44.9784279173745","40.0400784652213","41.0469062619831","42.7581638932449","43.7138502389196","41.9455713265834","43.8612799825212","42.0950836562831","40.7445139454575","39.5361217076824","38.326535997983","36.778341009409","34.3425806549804","31.8715893891638","34.1925767086699","35.9882187591871","38.1849921078642","37.28468688681","39.7738461518471","",
"Kenya","KEN","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","0.182315405651778","0.0821692686935086","","","0.132890365448505","0.0722021660649819","0.178202295245563","0.0545196816050594","0.101727518218474","0.0515557388648493","0.00620010850189878","","","0.0572376068779541","0.00268558828518121","","0.00058459225274963","0.0186532363365044","0.0156972210800029","0.0587229246784574","","","","","","0.0408352011913619","0.0849614086632773","0.0849614086632773","","0.0251847496330297","0.0467619986850756","0.0864499420646624","0.0691167431063866","0.0977316607411522","0.157130458801076","0.100860391988092","0.111809115535767","0.0988047908698953","0.116255621018543","0.148170039371369","0.0787138746494948","0.216366135898324","0.467294030251579","0.68172212628866","0.844297097344122","1.0095164698245","0.978378461679131","0.954657589448275","1.00557087395108","0.955919069576224","1.01528119847058","1.1887005310773","1.01945499357894","0.784714170788479","1.04082207750364","1.21320087972321","1.07656629178843","1.03711788683303","1.26457671489851","1.08500922116213","1.15655997188828","1.42928387412424","",
"Kenya","KEN","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","112000000","117000000","126000000","198000000","222000000","228000000","260000000","242000000","252000000","271000000","305000000","314000000","359000000","477000000","603000000","606000000","790000000","1186000000","1023000000","1090000000","1245000000","1139000000","1025000000","869000000","1074000000","958000000","1200000000","961000000","1067000000","951000000","1032000000","1108000000","1339000000","1374000000","1587000000","1879000000","2068000000","2054000000","2008000000","1747000000","1734000000","1944000000","2116000000","2411000000","2684000000","3420000000","3502000000","4081000000","5001000000","4463000000","5169000000","5756000000","6127000000","5856000000","6115000000","5906000000","5695000000","5747000000","6052000000","5839000000","6034000000","6739000000","7411000000","7191000000","8248000000",
"Kenya","KEN","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","1.39968068121341","1.82795698924731","1.30467571644042","1.22302158273381","1.58513931888545","0.88273362671499","1.07610816838584","1.32708999543171","1.512639867385","1.41907670199389","1.03661226290252","0.789265982636148","0.698631660918901","0.773764258555132","0.81369117075068","0.658280685920578","0.656584032332611","0.725320657296231","0.50323333477401","0.431499826552099","1.44351764694992","1.56775164358884","1.00510332850917","0.685580565862181","0.361643569755073","0.50323333477401","0.431499826552096","1.44351764694993","1.56775164358883","1.00510332850918","0.685524827307171","0.367393200649525","0.314489116936459","0.412510438702221","0.643585018770299","4.68291841495582","5.73464006022348","7.24441822032625","7.5575568449774","6.91122787638128","9.05174074904669","10.8289603509416","15.6780361921884","18.1500103216505","13.8972782063166","19.4956368802996","15.5741137325596","15.3974202496169","19.3287514488149","",
"Kenya","KEN","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","9.12229567879556","5.62656142156951","7.64579782576273","8.83191434259259","8.0670572193047","6.70601523995529","6.7347726274583","6.321373068601","5.79407703032615","6.29766822606743","5.68182462652517","7.94047303511751","","","5.58772283457065","5.59026483607178","5.50834356261769","5.98074773764857","7.93129517363678","7.37256766393674","7.08846494202942","6.80423405869896","6.5277752513589","7.76491971681999","8.59701585605988","12.8747653970057","10.6975040081281","10.7904518449298","15.837796865344","9.99226666741733","11.982478896263","11.9198299152995","13.8812205009255","13.0963423927415","10.6947689077661","","","11.9809745102473","","10.3502011484381","11.7379906746811","13.7811046565797","13.3078078950813","12.4877801838511","11.8211133524707","14.7598745177044","11.8660371916893","12.5710697931939","",
